worker	upps_impulsivity_survey_2	upps_impulsivity_survey_3	upps_impulsivity_survey_4	upps_impulsivity_survey_5	upps_impulsivity_survey_6	upps_impulsivity_survey_7	upps_impulsivity_survey_8	upps_impulsivity_survey_9	upps_impulsivity_survey_10	upps_impulsivity_survey_11	upps_impulsivity_survey_12	upps_impulsivity_survey_13	upps_impulsivity_survey_14	upps_impulsivity_survey_15	upps_impulsivity_survey_16	upps_impulsivity_survey_17	upps_impulsivity_survey_18	upps_impulsivity_survey_19	upps_impulsivity_survey_20	upps_impulsivity_survey_21	upps_impulsivity_survey_22	upps_impulsivity_survey_23	upps_impulsivity_survey_24	upps_impulsivity_survey_25	upps_impulsivity_survey_26	upps_impulsivity_survey_27	upps_impulsivity_survey_28	upps_impulsivity_survey_29	upps_impulsivity_survey_30	upps_impulsivity_survey_31	upps_impulsivity_survey_32	upps_impulsivity_survey_33	upps_impulsivity_survey_34	upps_impulsivity_survey_35	upps_impulsivity_survey_36	upps_impulsivity_survey_37	upps_impulsivity_survey_38	upps_impulsivity_survey_39	upps_impulsivity_survey_40	upps_impulsivity_survey_41	upps_impulsivity_survey_42	upps_impulsivity_survey_43	upps_impulsivity_survey_44	upps_impulsivity_survey_45	upps_impulsivity_survey_46	upps_impulsivity_survey_47	upps_impulsivity_survey_48	upps_impulsivity_survey_49	upps_impulsivity_survey_50	upps_impulsivity_survey_51	upps_impulsivity_survey_52	upps_impulsivity_survey_53	upps_impulsivity_survey_54	upps_impulsivity_survey_55	upps_impulsivity_survey_56	upps_impulsivity_survey_57	upps_impulsivity_survey_58	upps_impulsivity_survey_59	upps_impulsivity_survey_60
s002	2.0	2.0	3.0	1.0	4.0	2.0	4.0	4.0	2.0	3.0	3.0	3.0	3.0	1.0	3.0	3.0	3.0	4.0	1.0	3.0	1.0	3.0	4.0	3.0	3.0	3.0	1.0	2.0	3.0	2.0	3.0	2.0	2.0	2.0	3.0	1.0	1.0	3.0	3.0	3.0	3.0	1.0	2.0	3.0	4.0	3.0	2.0	2.0	3.0	4.0	3.0	3.0	2.0	4.0	1.0	3.0	4.0	4.0	4.0
s005	2.0	2.0	3.0	1.0	1.0	1.0	2.0	3.0	1.0	1.0	2.0	2.0	4.0	1.0	1.0	1.0	1.0	3.0	2.0	1.0	2.0	2.0	3.0	2.0	1.0	2.0	2.0	1.0	1.0	1.0	3.0	2.0	1.0	2.0	1.0	2.0	2.0	2.0	1.0	1.0	3.0	2.0	1.0	1.0	1.0	3.0	2.0	1.0	1.0	2.0	3.0	1.0	2.0	1.0	1.0	2.0	1.0	3.0	1.0
s006	2.0	3.0	3.0	1.0	3.0	2.0	3.0	4.0	4.0	3.0	4.0	3.0	3.0	4.0	1.0	1.0	2.0	1.0	1.0	4.0	1.0	4.0	4.0	1.0	3.0	1.0	1.0	2.0	1.0	1.0	3.0	2.0	2.0	4.0	4.0	3.0	1.0	2.0	3.0	4.0	4.0	1.0	2.0	4.0	4.0	2.0	2.0	3.0	3.0	3.0	2.0	2.0	2.0	2.0	3.0	3.0	3.0	3.0	1.0
s007	2.0	3.0	3.0	3.0	2.0	2.0	1.0	2.0	2.0	3.0	3.0	3.0	4.0	2.0	2.0	3.0	4.0	3.0	1.0	2.0	1.0	3.0	3.0	3.0	2.0	4.0	2.0	2.0	4.0	2.0	3.0	3.0	2.0	4.0	3.0	2.0	2.0	2.0	4.0	2.0	3.0	2.0	2.0	3.0	2.0	4.0	2.0	2.0	3.0	4.0	3.0	2.0	2.0	3.0	2.0	2.0	1.0	3.0	2.0
s009	2.0	3.0	3.0	3.0	3.0	3.0	2.0	2.0	3.0	3.0	3.0	3.0	3.0	2.0	3.0	3.0	4.0	2.0	2.0	3.0	2.0	3.0	2.0	3.0	3.0	1.0	3.0	3.0	3.0	3.0	3.0	2.0	3.0	3.0	2.0	2.0	3.0	3.0	3.0	3.0	2.0	3.0	2.0	3.0	3.0	4.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	1.0	4.0	3.0	3.0
s011	3.0	2.0	2.0	2.0	2.0	2.0	2.0	3.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	3.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	3.0	2.0	2.0
s012	2.0	2.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	2.0	3.0	3.0	1.0	1.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	2.0	1.0	2.0	2.0	1.0	2.0	1.0	2.0	2.0	2.0	2.0	1.0	3.0	2.0	1.0	2.0	1.0	2.0	2.0	2.0	3.0	1.0	2.0	2.0	1.0	1.0	1.0	2.0	4.0	1.0	2.0	2.0	2.0	1.0	1.0	2.0	2.0	2.0
s017	1.0	2.0	3.0	2.0	1.0	1.0	2.0	3.0	2.0	1.0	1.0	2.0	3.0	2.0	1.0	1.0	1.0	3.0	1.0	2.0	1.0	3.0	1.0	4.0	1.0	1.0	2.0	1.0	1.0	1.0	3.0	2.0	1.0	1.0	1.0	4.0	2.0	1.0	1.0	1.0	3.0	2.0	1.0	1.0	1.0	4.0	2.0	1.0	1.0	2.0	4.0	1.0	1.0	2.0	1.0	4.0	2.0	3.0	3.0
s020	2.0	2.0	4.0	1.0	3.0	1.0	3.0	2.0	2.0	2.0	1.0	2.0	4.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	2.0	3.0	2.0	2.0	3.0	1.0	2.0	2.0	3.0	3.0	3.0	2.0	2.0	2.0	2.0	1.0	2.0	2.0	1.0	3.0	3.0	2.0	2.0	3.0	2.0	1.0	3.0	2.0	2.0	2.0	3.0	3.0	2.0	3.0	3.0	2.0	2.0	1.0	3.0
s026	2.0	1.0	2.0	2.0	1.0	2.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	2.0	1.0	2.0	2.0	1.0	2.0	1.0	2.0	2.0	2.0	2.0	1.0	1.0	2.0	1.0	2.0	1.0	2.0	1.0	1.0	2.0	1.0	1.0	2.0	2.0	1.0	1.0	2.0	2.0	1.0	1.0	1.0	1.0	2.0	1.0	2.0	2.0	1.0	2.0	2.0	2.0	1.0	1.0	2.0	2.0	2.0
s027	2.0	2.0	3.0	2.0	2.0	2.0	2.0	4.0	3.0	2.0	2.0	3.0	3.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	3.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	3.0	2.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0
s028	2.0	3.0	3.0	1.0	2.0	2.0	3.0	3.0	2.0	2.0	2.0	3.0	3.0	2.0	2.0	2.0	2.0	3.0	2.0	2.0	2.0	3.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	3.0	2.0	2.0	2.0	2.0	3.0	2.0	2.0	3.0	3.0	3.0	2.0	2.0	2.0	2.0	2.0	3.0	2.0	2.0	2.0	3.0	2.0	3.0	2.0	2.0	2.0	2.0	3.0	2.0
s029	2.0	4.0	3.0	2.0	4.0	3.0	3.0	2.0	3.0	2.0	2.0	4.0	3.0	1.0	2.0	2.0	4.0	3.0	2.0	3.0	1.0	4.0	3.0	3.0	3.0	3.0	1.0	2.0	3.0	3.0	3.0	1.0	2.0	4.0	2.0	3.0	2.0	2.0	2.0	3.0	3.0	1.0	2.0	2.0	3.0	3.0	2.0	2.0	3.0	3.0	2.0	3.0	3.0	3.0	1.0	2.0	2.0	3.0	3.0
s032	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	3.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	3.0	1.0	2.0	1.0	2.0	1.0	2.0	1.0	1.0
s034	2.0	1.0	3.0	1.0	2.0	2.0	4.0	4.0	1.0	2.0	1.0	1.0	2.0	2.0	1.0	2.0	1.0	3.0	2.0	1.0	3.0	1.0	3.0	1.0	1.0	4.0	2.0	3.0	1.0	1.0	3.0	2.0	2.0	1.0	1.0	2.0	2.0	2.0	2.0	1.0	3.0	2.0	3.0	1.0	1.0	3.0	1.0	3.0	1.0	1.0	4.0	1.0	1.0	1.0	2.0	2.0	3.0	2.0	1.0
s042	2.0	2.0	2.0	2.0	1.0	2.0	2.0	3.0	2.0	1.0	1.0	1.0	2.0	2.0	1.0	1.0	3.0	2.0	2.0	1.0	2.0	3.0	2.0	3.0	2.0	2.0	2.0	1.0	2.0	1.0	3.0	2.0	1.0	1.0	1.0	2.0	3.0	2.0	2.0	1.0	3.0	2.0	2.0	2.0	1.0	3.0	1.0	1.0	1.0	2.0	3.0	1.0	2.0	1.0	2.0	1.0	2.0	2.0	1.0
s047	4.0	1.0	4.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	4.0	1.0	2.0	1.0	1.0	1.0	1.0	4.0	2.0	1.0	3.0	1.0	4.0	2.0	1.0	4.0	1.0	1.0	1.0	1.0	4.0	1.0	1.0	1.0	1.0	4.0	1.0	3.0	1.0	1.0	3.0	1.0	1.0	1.0	2.0	4.0	1.0	1.0	1.0	1.0	4.0	1.0	2.0	1.0	1.0	3.0	3.0	1.0	2.0
s049	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	1.0	1.0	2.0	2.0	2.0	1.0	2.0	2.0	1.0	2.0	1.0	2.0	2.0	1.0	2.0	1.0	1.0	2.0	1.0	2.0	1.0	2.0	2.0	1.0	2.0	1.0	1.0	2.0	2.0	2.0	1.0	2.0	2.0	1.0	1.0	2.0	2.0	2.0	1.0	2.0	2.0	4.0	2.0	2.0	2.0	2.0	1.0	3.0	3.0	2.0
s056	1.0	1.0	2.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	2.0	4.0	1.0	1.0	1.0	1.0	4.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	3.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	3.0	2.0	1.0	1.0	2.0	2.0	1.0	1.0	1.0	1.0	4.0	1.0	1.0	1.0
s060	1.0	2.0	2.0	2.0	1.0	1.0	3.0	1.0	2.0	1.0	2.0	2.0	1.0	2.0	1.0	1.0	2.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	2.0	1.0	2.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	2.0	1.0	2.0	1.0	2.0	2.0	1.0
s062	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	2.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	2.0	1.0	2.0	1.0	1.0	2.0	1.0	2.0	1.0	1.0	2.0	2.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	2.0	1.0	1.0	1.0	2.0	1.0	1.0
s063	2.0	2.0	3.0	2.0	3.0	2.0	3.0	2.0	2.0	2.0	2.0	3.0	3.0	2.0	2.0	2.0	2.0	3.0	1.0	2.0	2.0	2.0	3.0	3.0	2.0	1.0	2.0	3.0	2.0	2.0	3.0	2.0	2.0	2.0	2.0	1.0	2.0	2.0	3.0	2.0	3.0	2.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	2.0	1.0	3.0	3.0	2.0
