,NBAC,NBAVRT,NBMEANLD,ARTKCLCK,ARTKLPC,ARTKSCOR,ARTRCLCK,ARTRLPC,ARTRSCOR,ANTAC,ANTALTAC,ANTALTRT,ANTAVRT,ANTCONAC,ANTCONRT,ANTORTAC,ANTORTRT,BITIHDL,BITIHDM,BITIHDS,BISATTII,BISMOTII,BISNPLII,BBASDRIV,BBASFUNS,BBASRWRD,BBASBIS,BSCSSCON,CRTAC,CRTAVRT,CGRSCRP,CGRSINTP,CCTCAVCC,CCTCGAIN,CCTCINFO,CCTCLOSS,CCTCPROB,CCTHAVCC,CCTHGAIN,CCTHINFO,CCTHLOSS,CCTHPROB,DIIDYSF,DIIFUNC,DDTHEALT,DDTTASTE,DGSFORWD,DGSREVRS,DRFAC,DRFAVRT,DRFPINAC,DRFPINRT,DSTPCTP,DPTEEB,DPTFEB,DPTHEB,DPTREB,DPTSEB,DPTERP,DPTFRP,DPTHRP,DPTRRP,DPTSRP,DPTERT,DPTFRT,DPTHRT,DPTRRT,DPTSRT,DPEAYBAC,DPEAYBRT,DPEBXBAC,DPEBXBRT,DPEAC,DPEAVRT,DPEDPRIM,TFEQCGRS,TFEQEEAT,TFEQUEAT,ERQREAP,ERQSUPP,FFMQAWAR,FFMQDESC,FFMQNJUD,FFMQNREA,FFMQOBSV,FTPSFTP,GNGAC,GNGDRPIM,GRTSGRIT,HIRAC,HIRAVRT,HIRSCOR,HLTSFCH,IMVIMPLS,IMVVNTUR,ISTDECPC,ISTDECAC,ISTDECMV,ISTFXDPC,ISTFXDAC,ISTFXDMV,KTTSCOR,KRBHDRL,KRBHDRM,KRBHDRS,LCATACTL,LOGAC,LOGAVRT,LOGCONAC,LOGCONRT,LOGCFCAC,LOGCFCRT,LOGICHAC,LOGICHRT,LOGSWCAC,LOGSWCRT,MAASMIND,MOSSSRT,MOSREC,MOSSPC,MPQCOTR,PRSOVTAC,PRSPLB,PRSRVS,PRPSLOPE,PRPTAOAC,PRPTATAC,RPMSCOR,REPAC,REPAVRT,REPPINAC,REPPINRT,SOCSCOM,SOCSELSE,SOCSLBSE,SOCSOPT,SSRQCOTR,SSSBORED,SSSDISIN,SSSEXPSK,SSSTHRIL,SMAC,SMAVRT,SHFTAC,SHFTAVRT,SHFTLR,SIMAC,SIMAVRT,SIMSIMAC,SIMSIMRT,SRTAVRT,SPSFORWD,SPSREVRS,STSSSRT,SSSSRTHI,SSSSRTLO,SSPASS,SSPAS,STRAC,STRAVRT,STRSTRAC,STRSTRRT,TIPIAGRE,TIPICONS,TIPIEMST,TIPIEXTR,TIPIOPEN,TWILLELR,TXTAC,TXTAVRT,TXTCSCRT,TXTTAIOR,TXTTSCRT,ZTPIFUTR,ZTPIPNEG,ZTPIPPOS,ZTPIPRFA,ZTPIPRHE,TOLAVGMT,TOLNEM,TOLOPTSL,TOLPLNTM,TSTAVRT,TSTMODBA,TSTMODFR,UPPLPERS,UPPLPREM,UPPNEGUR,UPPPOSUR,UPPSENSE,WRTNEUPR,WRTPOSPR
s002,0.7263427109999999,-608.5,1.2,-386.5652173913,-0.23333333329999997,453.0,-817.1923076923,-0.1333333333,325.0,0.9930555556,0.0,-67.0,-741.0,-0.0208333333,-120.0,-0.027777777799999997,36.5,-0.029923370100000006,-0.1478212891,-0.0556884766,-18.0,-21.0,-25.0,9.0,9.0,13.0,9.0,33.0,0.98,-454.0,0.1666666667,-0.1666666667,11.75,-0.0666666667,0.0,-7.285838599000001e-17,-2.25,8.0833333333,0.0377623846,0.0,-0.0018228379999999998,0.33501259450000004,-12.0,13.0,0.1387440396,-0.4324047369,8.0,10.3,0.9275362319,-1145.5,-0.1764705882,39.5,0.19444444440000003,10.0,5.0,9.0,6.0,18.0,21.0,32.0,21.0,17.0,10.0,12.0,5.0,15.0,16.0,28.0,-0.0625,530.0,0.125,87.0,0.9527559055,-687.0,0.9770114943000001,11.1111111111,-44.4444444444,-59.2592592593,5.8,1.6666666666999999,28.0,28.0,29.0,19.0,28.0,49.0,0.98,0.8,28.0,0.3126760563,-691.0,111.0,6.0,-25.0,20.0,0.7541481018,0.7000000000000001,0.0017554870999999998,0.7393355608000001,0.7000000000000001,0.0013716979000000002,0.5277777778,-0.06403124240000001,-0.158113883,-0.0256124969,4.0,0.7191011236,-788.0,-0.2128205128,-160.5,-0.2303030303,38.5,0.0174825175,-199.0,-0.15476190480000002,-79.5,4.0666666667,,,,38.0,,,,0.5320132074,0.9833333333,0.9777777778,4.0,0.8732394365999999,-1138.0,-0.11111111109999999,70.0,,,,,122.0,0.22222222219999999,0.22222222219999999,0.6666666667000001,0.11111111109999999,0.982078853,-761.0,,,,0.93,-601.0,-0.06,-52.5,351.5,4.8,6.1,-294.8333333333,-307.0,-332.6666666667,25.6666666667,149.2652777778,0.9894736842,-716.0,0.0208333333,-140.0,6.0,3.0,7.0,3.0,7.0,-38.0,0.7989130434999999,-1114.0,-226.0,109.5,-61.5,2.9090909091,2.6666666667000003,4.625,3.125,4.1428571429000005,1795.1016666667,-8.0,8.0,3727.25,-689.7964824121001,-0.1648688222,0.2389767943,-14.0,-21.0,-34.0,-42.0,-34.0,0.8172749921,0.1922162034
s005,0.7788235294,-563.0,1.65,-677.1363636364,-0.2666666667,750.0,-1597.05,-0.33333333330000003,580.0,1.0,0.0,17.0,-607.0,0.0,-61.5,0.0,30.0,-0.000525995,-0.0041643982,-0.0276582031,-8.0,-18.0,-15.0,9.0,10.0,15.0,13.0,41.0,1.0,-476.5,0.8333333333,-0.1666666667,13.416666666700001,0.275,3.0,-0.030666666699999998,-2.9166666667000003,13.041666666700001,0.4185577722,3.0,-0.0250756442,-3.7905236907999997,-11.0,17.0,0.2518581217,-1.2169609029000001,9.2,8.0,0.7361111111,-832.0,-0.3888888889,-149.0,0.1666666667,10.0,15.0,5.0,8.0,18.0,26.0,30.0,30.0,34.0,23.0,9.0,8.0,12.0,6.0,23.0,0.1875,-56.5,0.18333333329999998,-121.5,0.9606299212999999,-451.0,0.921969697,22.2222222222,11.1111111111,-33.3333333333,4.8,4.3333333333,32.0,27.0,20.0,25.0,33.0,46.0,0.9628571429,0.8063492063000001,28.0,0.487394958,-866.5,174.0,6.0,-18.0,19.0,0.7475608826000001,1.0,0.0009119887,0.920829773,0.9,0.001067059,0.5555555556,-0.0256124969,-0.0256124969,-0.06403124240000001,4.0,0.9894736842,-787.5,-0.034482758599999996,-164.5,0.0,28.5,-0.034482758599999996,-193.0,-0.0222222222,-65.0,5.0666666667,-295.6666666667,-7.0,114.0,43.0,,,,0.6320956121,0.9744897959,0.9846938776,14.0,0.9571428570999999,-852.0,-0.055555555599999994,-96.0,0.6363636364,0.8181818181999999,1.0,0.8181818181999999,131.0,0.0,0.7777777778,0.7777777778,0.44444444439999997,1.0,-943.0,0.4711779449,-506.0,0.044557573200000006,1.0,-572.5,0.0,-4.5,302.5,6.5,5.1,-379.1666666667,-250.1666666667,-309.0,58.8333333333,50.9333333333,1.0,-572.0,0.0,-59.0,5.0,5.0,7.0,2.0,6.0,-33.0,0.8637413395,-695.0,3.5,-3.1666666667000003,-52.0,3.9090909091,3.0,3.375,2.0,3.2142857143,1915.6111111111,-19.0,7.0,2585.75,-867.2825,-1.2107524912999998,1.5888186252,-16.0,-13.0,-19.0,-13.0,-31.0,0.8868519986000001,0.4059011843
s006,0.8004926108,-560.0,1.4,-1455.0555555556,-0.4,736.0,-455.4166666667,-0.2,750.0,0.9375,-0.055555555599999994,34.5,-607.0,-0.1458333333,-77.0,-0.1388888889,63.5,-7.0924e-06,-6.784529999999999e-05,-29.632732421900002,-11.0,-23.0,-23.0,11.0,12.0,16.0,17.0,34.0,0.8493150684999999,-500.0,0.1666666667,-0.8333333333,19.5833333333,-0.0166666667,1.0,0.0006666667,1.0,28.217391304299998,-0.1839181287,2.0,0.0043567251,-2.6725146199000003,-19.0,16.0,-0.0113190347,0.012737079299999999,8.5,8.5,0.8695652173999999,-732.5,-0.07638888890000001,-328.5,1.0,5.0,5.0,5.0,5.0,5.0,35.0,35.0,35.0,35.0,35.0,5.0,5.0,5.0,5.0,5.0,-0.25,478.0,-0.25,79.5,0.9193548387,-471.5,0.7264705881999999,27.7777777778,11.1111111111,3.7037037037,4.4,5.666666666699999,33.0,19.0,34.0,6.0,13.0,53.0,0.9771428570999999,0.8222222222000001,28.0,0.4005763689,-738.0,139.0,0.0,-27.0,22.0,0.527438736,0.6000000000000001,0.0017382296,0.7636162281000001,0.8,0.0020427238,0.5,-0.25,-0.25,-0.25,5.0,0.8854166667000001,-835.0,-0.1771929825,-233.0,-0.038095238100000005,-71.0,-0.1390977444,-162.0,-0.2272727273,-118.0,3.8,,,,44.0,,,,0.40319981950000006,0.8423913043000001,0.7880434783,4.0,0.8333333333,-989.5,-0.1633986928,-74.0,0.33333333330000003,0.1818181818,0.7272727273,0.5454545454999999,111.5,0.5555555556,0.6666666667000001,0.75,0.44444444439999997,0.9563636364,-714.0,0.4894179894,-532.0,0.021283661699999998,0.8958333333,-636.5,-0.0833333333,-87.0,341.5,5.3,4.9,,-336.1666666667,-303.1666666667,-33.0,69.3263888889,0.9677419355,-725.0,-0.022201665099999997,-146.0,7.0,7.0,7.0,7.0,7.0,-42.0,0.8380281690000001,-755.0,-1.5,30.3333333333,-26.0,3.7272727273000004,4.0,4.0,3.0,4.0714285714,2209.1783333333,-21.0,4.0,3224.1666666666997,-581.0609137056,-0.4553857187,1.0327010837000001,-17.0,-22.0,-32.0,-35.0,-30.0,0.8338361601000001,0.4540214179
s007,,,,-782.9230769231,-0.1333333333,470.0,-244.16,-0.1666666667,340.0,0.9577464789,0.0833333333,23.0,-715.0,-0.10638297869999999,-121.5,-0.026984127000000004,71.0,-0.0005751163,-0.0008470039,-0.0081005859,-13.0,-18.0,-22.0,10.0,8.0,14.0,20.0,49.0,0.9669421488,-527.0,0.1666666667,-0.6666666667000001,4.8333333333,0.033333333300000004,0.0,0.0013333332999999998,-0.4166666667,13.041666666700001,0.21154788649999998,1.0,-0.0035254237,0.8082499489,-13.0,16.0,0.42950206399999996,-0.5991357069000001,9.6,6.4,,,,,0.3611111111,13.0,28.0,9.0,17.0,24.0,21.0,26.0,26.0,28.0,12.0,10.0,26.0,20.0,25.0,33.0,0.0,425.0,-0.125,40.5,0.9206349206,-647.0,0.7151162791,44.4444444444,11.1111111111,-22.2222222222,5.4,4.6666666667,22.0,21.0,21.0,21.0,23.0,50.0,0.9542857143,0.6952380951999999,22.0,0.28,-874.0,98.0,9.0,-21.0,21.0,0.8018417358000001,0.9,0.0007886168000000001,0.8767990112,1.0,0.0012070223,0.7777777778,-0.06403124240000001,-0.06403124240000001,-0.0256124969,2.0,0.752688172,-833.5,-0.4356617647,-184.5,0.0196759259,-119.0,-0.4553376906,-65.5,0.006410256400000001,53.0,3.8,,,,43.0,0.5222222222,8.6329234757,-8.637205744700001,0.5112262406,0.9427083333,0.9375,10.0,0.9154929576999999,-1361.0,0.0,-409.5,0.45454545450000006,0.5454545454999999,0.5454545454999999,0.9090909091,110.5,0.6666666667000001,0.44444444439999997,0.5555555556,1.0,0.9534050179000001,-851.0,0.3291457286,-623.5,0.006016204000000001,0.98,-539.0,-0.04,-46.0,517.0,5.1,5.4,-416.3333333333,-343.1666666667,-437.0,93.8333333333,-0.08750000000000001,0.9325842697,-989.0,-0.0495449949,-61.5,7.0,6.0,5.0,2.0,5.0,-48.0,0.6330049261,-888.5,25.0,110.5,-232.0,3.7272727273000004,4.0,3.125,3.25,3.5,2282.5555555555998,5.0,8.0,6112.166666666701,,,,-19.0,-21.0,-35.0,-29.0,-33.0,0.8621573749,0.6821860019
s009,0.8215859031,-439.0,2.7,-1156.5652173913,-0.23333333329999997,615.0,-501.0434782609,-0.23333333329999997,420.0,0.9791666667,0.055555555599999994,-2.0,-534.0,0.0208333333,-20.5,0.027777777799999997,54.0,-0.0005145003,-0.0019907760999999997,-0.0101464844,-14.0,-23.0,-24.0,7.0,9.0,13.0,18.0,29.0,0.96,-416.0,0.8333333333,-0.0,13.708333333299999,0.4208333333,2.0,-0.0118333333,-6.458333333300001,5.25,0.1141843972,2.0,-0.0049527187,-2.4048463357,-15.0,11.0,0.1593423691,-1.1747285803,6.8,4.8,0.9722222222,-778.5,0.11111111109999999,20.0,0.7222222222,18.0,13.0,11.0,8.0,21.0,14.0,21.0,19.0,16.0,11.0,13.0,9.0,14.0,11.0,24.0,-0.1875,317.0,-0.1333333333,39.0,0.952,-356.0,0.8551724138000001,50.0,-22.2222222222,-48.148148148100006,5.2,4.6666666667,21.0,18.0,27.0,18.0,23.0,33.0,0.9942857143000001,0.9428571429000001,17.0,0.6218487395000001,-876.0,222.0,9.0,-18.0,18.0,0.6171309948,0.8,0.0017705286000000004,0.985546875,1.0,0.0028862039000000003,0.7222222222,-0.0038729833,-0.0004,-0.009797959,2.0,0.9895833333,-738.0,-0.0416666667,-242.0,0.0,-35.0,-0.0416666667,-207.0,0.0208333333,42.0,4.0,-228.3333333333,8.5,73.0,32.0,0.8333333333,-8.3796570593,14.654035753599999,0.6676807246,0.9747474747,0.9696969697,6.0,0.9014084507,-1014.5,-0.11111111109999999,-223.5,0.0909090909,0.1818181818,0.5454545454999999,0.1818181818,71.0,0.6666666667000001,1.0,0.8888888889000001,0.33333333330000003,0.9928571429,-569.5,0.6073170732000001,-379.0,0.14624492279999998,0.99,-387.0,-0.02,14.0,268.0,6.8,6.4,-247.6666666667,-204.5,-225.0,20.5,-33.0472222222,1.0,-753.5,0.0,-111.0,4.0,3.0,5.0,2.0,5.0,-67.0,0.9498861048,-609.0,8.0,30.1666666667,-16.0,3.4545454545,3.1111111111,3.625,3.25,3.4285714286,1251.3159722222001,-5.0,11.0,3222.6666666666997,-459.355,0.6258949536,-0.1528096578,-24.0,-28.0,-33.0,-39.0,-25.0,0.1779068063,0.45563800509999997
s011,0.8512931034000001,-437.0,3.2,-697.2222222222,-0.4,690.0,-1437.5714285714002,-0.30000000000000004,365.0,0.9861111111,0.0,48.5,-609.5,-0.0208333333,-96.0,-0.055555555599999994,62.5,-0.044047225999999995,-0.0051069641,-0.00015283200000000002,-9.0,-13.0,-17.0,3.0,6.0,10.0,15.0,54.0,0.9866666667,-386.5,0.33333333330000003,-0.33333333330000003,5.3333333333,0.05833333330000001,1.0,-0.0026666666999999996,-1.75,6.9130434783000005,0.130866426,3.0,-0.0025487365,-3.7931923672,-11.0,10.0,0.1939300298,-0.9515309845,7.9,9.8,1.0,-789.0,0.0,-410.5,0.0,16.0,28.0,11.0,9.0,25.0,20.0,28.0,23.0,31.0,8.0,11.0,5.0,17.0,5.0,35.0,-0.0666666667,232.0,-0.125,-4.5,0.9763779528,-400.0,0.875,33.3333333333,-22.2222222222,-29.6296296296,6.0,2.0,35.0,34.0,29.0,18.0,21.0,57.0,0.9857142857,0.8825396825,40.0,0.7402234637,-878.0,265.0,4.0,-15.0,15.0,0.7708899498,1.0,0.0016033788,0.8675750731999999,0.9,0.0018161934,0.5833333333,-0.25,-0.25,-0.25,2.0,1.0,-827.0,0.0,-208.0,0.0,-31.0,0.0,-177.0,0.0,-132.0,5.8,-262.5,8.0,84.0,48.0,0.8666666667,1.0782063195,6.9911453835,0.23254980949999998,0.9899497487,0.9547738693,12.0,0.9710144928,-975.0,0.0,-348.0,0.7272727273,0.9090909091,0.8181818181999999,0.9090909091,142.0,0.44444444439999997,0.44444444439999997,0.6666666667000001,0.11111111109999999,0.9928571429,-608.0,0.539408867,-459.5,0.09170397109999999,0.98,-451.5,-0.04,-76.0,316.0,5.7,6.3,-226.3333333333,-241.0,-247.6666666667,6.666666666699999,96.3097222222,0.9895833333,-598.0,-0.0208333333,-157.5,7.0,3.0,4.0,7.0,7.0,-24.0,0.9658314351,-523.0,22.0,-2.5,-13.0,4.2727272727,1.8888888889,2.25,1.5,2.7857142857,1371.7153679654,-11.0,8.0,2094.9166666667,-570.03,-0.4356487044,-0.3646431136,-15.0,-20.0,-22.0,-27.0,-24.0,0.1925341667,0.24043603789999998
s012,0.8228941685000001,-496.0,3.25,-1377.6315789474,-0.3666666667,796.0,-466.13043478260005,-0.23333333329999997,527.0,0.9861111111,0.0,33.5,-641.5,-0.0208333333,-77.0,-0.055555555599999994,139.0,-0.0011767575,-0.010140686,-0.0590556641,-14.0,-15.0,-21.0,8.0,5.0,14.0,16.0,44.0,0.9866666667,-448.0,0.8333333333,-0.1666666667,5.666666666699999,0.05833333330000001,2.0,-0.0086666667,-2.9166666667000003,3.9583333332999997,0.1687969925,3.0,-0.0115213033,-1.9323308271000001,-11.0,15.0,-0.3553490939,-0.7137797811000001,8.4,8.6,0.9577464789,-881.5,0.0,-93.0,0.1666666667,18.0,20.0,8.0,9.0,22.0,18.0,24.0,25.0,26.0,18.0,20.0,10.0,14.0,6.0,23.0,0.0,-20.0,0.0,-84.0,1.0,-812.0,1.0,22.2222222222,-11.1111111111,-55.5555555556,2.2,5.0,27.0,22.0,29.0,18.0,9.0,32.0,0.9571428570999999,0.6222222222,21.0,0.5277777778,-766.5,190.0,8.0,-16.0,14.0,0.6499261856,0.9,0.0010140799,1.0,1.0,0.0020015881,0.6666666667000001,-0.25,-0.06403124240000001,-0.06403124240000001,2.0,0.9052631579000001,-861.0,-0.09947089949999999,-93.0,0.055411255400000005,11.5,-0.1548821549,-104.5,-0.0022148394000000003,-167.5,3.4,-331.6666666667,7.5,81.0,43.0,0.5888888889,27.3376402867,-25.2123453648,0.6264483411999999,0.9296482412,0.8592964823999999,15.0,0.8857142856999999,-820.0,0.0,-18.5,0.5454545454999999,0.3636363636,1.0,0.8181818181999999,114.0,0.44444444439999997,0.6666666667000001,0.6666666667000001,0.22222222219999999,0.9928571429,-741.5,0.46172839509999997,-496.0,0.0590870111,0.98,-527.0,-0.04,-10.0,338.0,5.9,6.0,-301.0,-263.1666666667,-286.6666666667,23.5,9.880555555599999,0.9677419355,-807.5,-0.022201665099999997,-151.5,2.0,5.0,4.0,3.0,3.0,-32.0,0.9405034325,-637.0,21.0,18.1666666667,-47.5,4.2727272727,2.5555555556,2.5,1.5,1.9285714286,2230.165,-3.0,8.0,4731.5,-734.9621212121001,-0.6838735438,0.501551987,-17.0,-14.0,-26.0,-26.0,-14.0,0.2365442544,0.18606252350000002
s017,0.8046511628,-472.0,2.0,-1219.9090909091,-0.2666666667,789.0,-432.6296296296,-0.1,550.0,0.9930555556,0.0,52.5,-613.0,0.0208333333,-68.5,0.027777777799999997,121.0,-0.0001124585,-0.00019663,-0.0006987305,-19.0,-17.0,-18.0,8.0,6.0,15.0,21.0,49.0,1.0,-439.0,0.6666666667000001,-0.1666666667,9.7083333333,0.1041666667,3.0,-0.0111666667,-2.125,7.958333333300001,0.1894025605,3.0,-0.0077980085,-1.8536882747,-11.0,13.0,0.1836432283,-1.3700064956,9.3,7.6,0.9857142857,-782.0,0.0,-39.0,0.8333333333,15.0,17.0,9.0,15.0,14.0,13.0,27.0,19.0,20.0,12.0,11.0,12.0,8.0,12.0,17.0,0.0625,479.0,0.0,102.5,0.9682539683,-760.5,0.875,38.8888888889,-33.3333333333,-40.740740740700005,4.4,5.3333333333,18.0,19.0,26.0,20.0,20.0,46.0,0.9857142857,0.8825396825,22.0,0.6852367688000001,-780.0,246.0,3.0,-18.0,20.0,0.767848587,0.9,0.0024491452000000003,0.98984375,1.0,0.0027049544,0.5833333333,-0.0002011893,-0.0002011893,-0.0002011893,5.0,0.9578947368,-936.0,-0.1034482759,-269.5,-0.03125,-71.0,-0.0721982759,-198.5,-0.0039584364,-154.0,3.5333333333,-293.1666666667,14.5,160.0,43.0,,,,0.58484855,0.985,0.965,10.0,0.9850746269,-912.5,0.0,-312.5,0.6363636364,0.6363636364,0.9090909091,0.8181818181999999,130.0,0.11111111109999999,0.7777777778,0.44444444439999997,0.6666666667000001,0.9770992366,-662.0,0.4513715711,-535.0,0.0676643665,0.99,-531.0,-0.02,-42.5,310.0,6.5,5.6,-268.5,-250.3333333333,-295.0,44.6666666667,98.025,0.9789473684,-742.0,-0.00044326239999999996,-211.5,7.0,7.0,6.0,1.0,4.0,-53.0,0.9681818181999999,-703.0,1.5,-53.5,-38.0,4.5454545455,3.3333333332999997,4.25,2.375,2.2857142857,1481.6893939394001,-1.0,10.0,3958.5,-752.895,-3.1094480307,2.7572274370999996,-19.0,-10.0,-18.0,-18.0,-33.0,0.185612246,0.17430210710000002
s020,0.7762237762,-461.0,1.85,-564.7083333333001,-0.2,610.0,-1060.7777777777999,-0.1,340.0,0.9784172662,-0.028571428599999997,-59.5,-610.5,-0.044444444400000005,-109.0,0.0017316017000000002,27.5,-0.0002343203,-0.009369873,-0.0126279297,-11.0,-20.0,-21.0,11.0,10.0,14.0,14.0,41.0,0.9523809524,-566.5,0.6666666667000001,-0.33333333330000003,9.8333333333,0.4,1.0,-0.006,-1.9166666666999999,7.291666666699999,0.0038725986,0.0,-0.0009140546,-0.8612740142,-12.0,16.0,-0.0335462443,-0.6750894226,7.5,5.2,0.9285714286,-1189.0,-0.11111111109999999,106.5,0.0,11.0,9.0,8.0,6.0,18.0,19.0,17.0,28.0,24.0,15.0,12.0,11.0,8.0,9.0,16.0,-0.1333333333,302.5,-0.0625,-82.5,0.9527559055,-494.0,0.9034090909,27.7777777778,-11.1111111111,-44.4444444444,5.4,3.3333333332999997,25.0,24.0,22.0,17.0,20.0,46.0,0.9885714286,0.9111111111,30.0,0.3536231884,-672.0,122.0,7.0,-22.0,17.0,0.6603252411,0.8,0.0017003689000000002,0.7410667895999999,0.7000000000000001,0.0015159826,0.4722222222,-0.0256124969,-0.06403124240000001,-0.06403124240000001,1.0,0.9255319149,-880.0,-0.18421052629999998,-351.0,0.0,-141.0,-0.18421052629999998,-210.0,-0.0016611296,-54.5,3.9333333333,-285.6666666667,33.0,36.5,43.0,0.5,3.7318341441000005,-3.4417341323,0.6229103774,0.9329896906999999,0.9742268041,8.0,0.8571428570999999,-966.0,-0.1078431373,-287.5,0.6363636364,0.8181818181999999,0.5454545454999999,0.5454545454999999,100.5,0.44444444439999997,0.7777777778,0.44444444439999997,0.22222222219999999,0.9677419355,-608.5,0.4334975369,-389.5,0.0501444983,0.99,-707.0,0.02,46.5,381.5,6.3,5.7,-286.3333333333,-240.0,-361.3333333333,121.3333333333,18.3513888889,0.9255319149,-669.0,-0.0638297872,-160.0,5.0,6.0,6.0,5.0,3.0,-46.0,0.8452655889,-813.0,6.0,7.166666666699999,-100.0,3.0,2.3333333333,3.75,2.875,3.4285714286,2750.9476190476003,-12.0,6.0,3479.3333333333003,-617.3287292818,0.594460772,-0.1424756482,-18.0,-19.0,-24.0,-32.0,-24.0,0.1805794197,0.3909019375
s026,0.8250000000000001,-438.0,2.0,-874.0833333333001,-0.2,263.0,-333.875,-0.2,489.0,0.9861111111,0.0,-6.5,-580.5,0.0,-4.5,0.0,23.0,-0.0001688719,-0.0010027083999999999,-0.0231308594,-11.0,-15.0,-20.0,8.0,6.0,14.0,17.0,51.0,0.98,-398.0,0.6666666667000001,-0.1666666667,13.25,0.025,1.0,0.001,-2.75,10.0833333333,0.0009003215,0.0,-0.00025937830000000004,-0.07395498390000001,-11.0,11.0,-0.2888881723,-0.9523625263,9.8,7.1,0.9583333333,-826.0,0.0,-29.5,0.8888888889000001,11.0,20.0,7.0,8.0,14.0,23.0,20.0,20.0,25.0,14.0,9.0,8.0,10.0,5.0,18.0,0.0,25.5,0.0,-7.5,0.9921875,-787.0,0.9886363636,27.7777777778,-11.1111111111,-14.8148148148,5.0,6.0,28.0,26.0,34.0,17.0,19.0,36.0,0.9714285714,0.8158730159,29.0,0.5722222222000001,-1298.0,206.0,8.0,-15.0,14.0,0.5657946467,0.6000000000000001,0.0019503945999999998,1.0,1.0,0.0027379267999999997,0.44444444439999997,-0.0006324555,-0.0006324555,-0.0015811388,6.0,0.9479166667,-677.0,-0.11111111109999999,-94.0,-0.055555555599999994,-45.0,-0.055555555599999994,-49.0,-0.0281007752,-23.0,4.7333333333,,,,46.0,0.5060240964,1.9133373883000002,-1.6080014509,0.57614781,0.9899497487,0.959798995,13.0,0.8732394365999999,-968.5,0.0,73.0,0.6363636364,0.9090909091,0.9090909091,0.8181818181999999,142.0,0.22222222219999999,0.22222222219999999,0.22222222219999999,0.0,0.9892086331,-763.0,0.47911547909999996,-427.0,0.042180781900000006,0.98,-416.5,-0.04,-38.5,272.5,6.1,4.5,-314.6666666667,-189.6666666667,-236.6666666667,47.0,26.9041666667,0.9791666667,-605.5,0.0,-53.0,5.0,6.0,7.0,5.0,4.0,-49.0,0.9068627451000001,-762.0,-34.0,-31.1666666667,-78.0,4.090909090899999,2.1111111111,3.875,1.875,2.5,1949.3041666667002,-15.0,7.0,2732.1666666667,-491.8725,-1.0122824975,0.9634923334,-17.0,-15.0,-20.0,-18.0,-16.0,0.1857878768,0.1482208463
s027,0.8301075269,-472.5,3.25,-1210.380952381,-0.30000000000000004,630.0,-431.0555555556,-0.4,410.0,0.993006993,0.028571428599999997,41.0,-602.5,-0.021276595699999998,-55.5,0.0,73.5,-0.006058485000000001,-0.1474404297,-0.8502041015999999,-13.0,-16.0,-23.0,5.0,9.0,13.0,21.0,43.0,1.0,-415.0,0.6666666667000001,-0.1666666667,15.958333333299999,0.4875,2.0,-0.0295,-1.2083333333,12.041666666700001,0.1848506401,1.0,-0.0021463117,0.1062792115,-11.0,14.0,-0.16278408789999999,-0.6051033190999999,8.3,7.1,0.9583333333,-819.0,-0.055555555599999994,-85.0,0.027777777799999997,6.0,14.0,6.0,12.0,17.0,27.0,20.0,33.0,25.0,14.0,5.0,15.0,11.0,8.0,26.0,0.0,5.5,0.0,-19.5,0.9918699187,-781.5,0.9879518072,55.5555555556,-33.3333333333,-40.740740740700005,4.0,7.0,28.0,22.0,22.0,17.0,19.0,41.0,0.9914285714,0.9142857143,26.0,0.4525139665,-1083.5,162.0,6.0,-18.0,18.0,0.6397562981,0.7000000000000001,0.0015567866,0.7121877670000001,0.9,0.0018455326000000002,0.6111111111,-0.1265219767,-0.06403124240000001,-0.158113883,4.0,0.9789473684,-791.0,-0.064516129,-134.0,0.0,140.0,-0.064516129,-274.0,0.0009456264999999999,-142.5,4.6666666667,-272.6666666667,37.0,129.0,41.0,0.7444444444,11.5278362609,-5.93406329,0.3198007084,0.75,0.705,10.0,0.9436619718000001,-1027.0,0.0,13.0,0.45454545450000006,0.3636363636,0.7272727273,0.7272727273,108.0,0.44444444439999997,0.22222222219999999,0.6666666667000001,0.0,0.9927536231999999,-813.5,0.5195121951,-427.0,0.1228237996,0.97,-516.0,-0.02,-60.0,302.5,6.5,5.5,,,,,,0.9895833333,-673.0,0.0208333333,-201.5,6.0,4.0,6.0,2.0,5.0,-48.0,0.9068181818,-746.0,-103.0,30.8333333333,11.5,3.7272727273000004,4.2222222222,2.0,2.5,3.0714285714,1881.7376190476,-15.0,6.0,2627.5,-333.245,0.7071919595999999,0.062328199699999996,-20.0,-20.0,-23.0,-24.0,-25.0,0.19946040620000002,0.3939701676
